12:38:20.480 ->  SD OK
12:38:20.529 ->  BREAK STOP
12:38:20.767 ->  Controller Err
12:39:10.013 ->  SD OK
12:39:10.030 ->  BREAK STOP
12:39:10.269 ->  Controller Err
12:39:36.574 ->  SD OK
12:39:36.592 ->  BREAK STOP
12:39:36.828 ->  Controller Set
12:39:38.574 ->  START
12:39:38.763 ->  Speed:0.00 km/hr 
12:39:53.016 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:53.107 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:53.188 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:53.278 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:53.299 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:53.389 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:53.470 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:53.678 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:53.699 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:53.789 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:53.810 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:53.899 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:53.920 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:54.012 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:54.033 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:54.075 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:54.155 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:54.244 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:54.323 ->  Battery :12.31 V
12:39:54.464 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:54.554 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:54.575 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:54.664 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:54.685 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:54.783 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:54.864 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:54.955 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:55.036 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:55.242 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:55.262 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:55.352 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:55.374 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:55.511 ->  @20/6/6 12:39:55.53 Bike UNLOCK
12:39:55.594 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:55.675 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:55.764 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:55.785 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:55.991 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:56.012 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:56.127 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:56.147 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:56.240 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:56.261 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:56.353 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:56.434 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:56.523 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:56.604 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:56.809 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:56.830 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:56.919 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:56.942 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:57.033 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:57.053 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:57.144 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:57.224 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:57.254 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:57.283 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:57.374 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:57.395 ->  Battery :12.27 V
12:39:57.419 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:57.626 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:57.646 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:57.736 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:57.758 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:57.848 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:57.868 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:57.960 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:57.982 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:58.073 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:58.392 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:58.480 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:58.631 ->  (95,95,95,94,0.00,100,0)	FORWARD     94　95　
12:39:58.661 ->  (96,95,95,95,0.00,100,0)	FORWARD     95　
12:39:58.709 ->  (97,96,96,95,0.00,100,0)	FORWARD     95　96　
12:39:58.754 ->  (95,97,96,96,0.00,100,0)	FORWARD     96　
12:39:58.855 ->  (95,95,95,96,0.00,100,0)	FORWARD     96　95　
12:39:58.908 ->  (94,95,94,95,0.00,100,0)	BREAK STOPPING 
12:39:59.182 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:59.203 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:59.241 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:59.284 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
