00:00:14.00-13973 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:14.00-13919 ->  ERROR OCCUR  ~
00:00:14.00-13868 ->  BREAK STOP  ~
00:00:14.00-13815 ->  ERROR OCCUR  ~
00:00:14.00-13764 ->  BREAK STOP  ~
00:00:14.00-13712 ->  ERROR OCCUR  ~
00:00:14.00-13659 ->  BREAK STOP  ~
00:00:14.00-13605 ->  ERROR OCCUR  ~
00:00:14.00-13553 ->  BREAK STOP  ~
00:00:14.00-13499 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:14.00-13446 ->  ERROR OCCUR  ~
00:00:14.00-13394 ->  BREAK STOP  ~
00:00:14.00-13341 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:14.00-13288 ->  ERROR OCCUR  ~
00:00:14.00-13235 ->  BREAK STOP  ~
00:00:14.00-13183 ->  ERROR OCCUR  ~
00:00:14.00-13132 ->  BREAK STOP  ~
00:00:14.00-13080 ->  ERROR OCCUR  ~
00:00:14.00-13028 ->  BREAK STOP  ~
00:00:15.00-14970 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.00-14918 ->  ERROR OCCUR  ~
00:00:15.00-14866 ->  BREAK STOP  ~
00:00:15.00-14813 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.00-14759 ->  ERROR OCCUR  ~
00:00:15.00-14707 ->  BREAK STOP  ~
00:00:15.00-14655 ->  ERROR OCCUR  ~
00:00:15.00-14603 ->  BREAK STOP  ~
00:00:15.00-14548 ->  (110,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.00-14496 ->  ERROR OCCUR  ~
00:00:15.00-14444 ->  BREAK STOP  ~
00:00:15.00-14388 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.00-14334 ->  ERROR OCCUR  ~
00:00:15.00-14283 ->  BREAK STOP  ~
00:00:15.00-14229 ->  (110,109,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:15.00-14176 ->  ERROR OCCUR  ~
00:00:15.00-14124 ->  BREAK STOP  ~
00:00:15.00-14070 ->  (111,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.00-14017 ->  ERROR OCCUR  ~
00:00:16.00-15966 ->  BREAK STOP  ~
00:00:16.00-15911 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:16.00-15858 ->  ERROR OCCUR  ~
00:00:16.00-15804 ->  BREAK STOP  ~
00:00:16.00-15752 ->  ERROR OCCUR  ~
00:00:16.00-15699 ->  BREAK STOP  ~
00:00:16.00-15646 ->  ERROR OCCUR  ~
00:00:16.00-15595 ->  BREAK STOP  ~
00:00:16.00-15540 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:16.00-15487 ->  ERROR OCCUR  ~
00:00:16.00-15435 ->  BREAK STOP  ~
00:00:16.00-15369 ->  ERROR OCCUR  ~
00:00:16.00-15317 ->  BREAK STOP  ~
00:00:16.00-15264 ->  ERROR OCCUR  ~
00:00:16.00-15213 ->  BREAK STOP  ~
00:00:16.00-15160 ->  ERROR OCCUR  ~
00:00:16.00-15106 ->  BREAK STOP  ~
00:00:16.00-15051 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:17.00-16998 ->  ERROR OCCUR  ~
00:00:17.00-16946 ->  BREAK STOP  ~
00:00:17.00-16892 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:17.00-16839 ->  ERROR OCCUR  ~
00:00:17.00-16787 ->  BREAK STOP  ~
00:00:17.00-16735 ->  ERROR OCCUR  ~
00:00:17.00-16683 ->  BREAK STOP  ~
00:00:17.00-16628 ->  (110,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:17.00-16575 ->  ERROR OCCUR  ~
00:00:17.00-16521 ->  BREAK STOP  ~
00:00:17.00-16467 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:17.00-16413 ->  ERROR OCCUR  ~
00:00:17.00-16362 ->  BREAK STOP  ~
00:00:17.00-16308 ->  (111,109,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:17.00-16255 ->  ERROR OCCUR  ~
00:00:17.00-16202 ->  BREAK STOP  ~
00:00:17.00-16148 ->  (112,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:17.00-16096 ->  ERROR OCCUR  ~
00:00:17.00-16044 ->  BREAK STOP  ~
00:00:18.00-17989 ->  (110,112,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:18.00-17934 ->  ERROR OCCUR  ~
00:00:18.00-17882 ->  BREAK STOP  ~
00:00:18.00-17828 ->  (111,110,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:18.00-17775 ->  ERROR OCCUR  ~
00:00:18.00-17723 ->  BREAK STOP  ~
00:00:18.00-17669 ->  (112,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:18.00-17616 ->  ERROR OCCUR  ~
00:00:18.00-17563 ->  BREAK STOP  ~
00:00:18.00-17509 ->  (110,112,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:18.00-17457 ->  ERROR OCCUR  ~
00:00:18.00-17405 ->  BREAK STOP  ~
00:00:18.00-17349 ->  ERROR OCCUR  ~
00:00:18.00-17297 ->  BREAK STOP  ~
00:00:18.00-17245 ->  ERROR OCCUR  ~
00:00:18.00-17193 ->  BREAK STOP  ~
00:00:18.00-17138 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:18.00-17086 ->  ERROR OCCUR  ~
00:00:18.00-17034 ->  BREAK STOP  ~
00:00:19.00-18982 ->  ERROR OCCUR  ~
00:00:19.00-18930 ->  BREAK STOP  ~
00:00:19.00-18877 ->  ERROR OCCUR  ~
00:00:19.00-18825 ->  BREAK STOP  ~
00:00:19.00-18771 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:19.00-18716 ->  ERROR OCCUR  ~
00:00:19.00-18664 ->  BREAK STOP  ~
00:00:19.00-18610 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:19.00-18557 ->  ERROR OCCUR  ~
00:00:19.00-18505 ->  BREAK STOP  ~
00:00:19.00-18452 ->  ERROR OCCUR  ~
00:00:19.00-18401 ->  BREAK STOP  ~
00:00:19.00-18347 ->  (111,109,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:19.00-18294 ->  ERROR OCCUR  ~
00:00:19.00-18242 ->  BREAK STOP  ~
00:00:19.00-18190 ->  ERROR OCCUR  ~
00:00:19.00-18138 ->  BREAK STOP  ~
00:00:19.00-18081 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:19.00-18028 ->  ERROR OCCUR  ~
00:00:20.00-19976 ->  BREAK STOP  ~
00:00:20.00-19924 ->  ERROR OCCUR  ~
00:00:20.00-19872 ->  BREAK STOP  ~
00:00:20.00-19817 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:20.00-19764 ->  ERROR OCCUR  ~
00:00:20.00-19712 ->  BREAK STOP  ~
00:00:20.00-19660 ->  ERROR OCCUR  ~
00:00:20.00-19608 ->  BREAK STOP  ~
00:00:20.00-19554 ->  ERROR OCCUR  ~
00:00:20.00-19503 ->  BREAK STOP  ~
00:00:20.00-19446 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:20.00-19394 ->  ERROR OCCUR  ~
00:00:20.00-19341 ->  BREAK STOP  ~
00:00:20.00-19287 ->  (110,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:20.00-19234 ->  ERROR OCCUR  ~
00:00:20.00-19182 ->  BREAK STOP  ~
00:00:20.00-19129 ->  ERROR OCCUR  ~
00:00:20.00-19077 ->  BREAK STOP  ~
00:00:20.00-19023 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:21.00-20970 ->  ERROR OCCUR  ~
00:00:21.00-20918 ->  BREAK STOP  ~
00:00:21.00-20861 ->  (110,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:21.00-20809 ->  ERROR OCCUR  ~
00:00:21.00-20757 ->  BREAK STOP  ~
00:00:21.00-20703 ->  ERROR OCCUR  ~
00:00:21.00-20651 ->  BREAK STOP  ~
00:00:21.00-20597 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:21.00-20545 ->  ERROR OCCUR  ~
00:00:21.00-20492 ->  BREAK STOP  ~
00:00:21.00-20440 ->  ERROR OCCUR  ~
00:00:21.00-20388 ->  BREAK STOP  ~
00:00:21.00-20335 ->  ERROR OCCUR  ~
00:00:21.00-20284 ->  BREAK STOP  ~
00:00:21.00-20226 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:21.00-20173 ->  ERROR OCCUR  ~
00:00:21.00-20121 ->  BREAK STOP  ~
00:00:21.00-20066 ->  (110,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:21.00-20014 ->  ERROR OCCUR  ~
00:00:22.00-21962 ->  BREAK STOP  ~
00:00:22.00-21908 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:22.00-21854 ->  ERROR OCCUR  ~
00:00:22.00-21803 ->  BREAK STOP  ~
00:00:22.00-21750 ->  ERROR OCCUR  ~
00:00:22.00-21699 ->  BREAK STOP  ~
00:00:22.00-21642 ->  ERROR OCCUR  ~
00:00:22.00-21591 ->  BREAK STOP  ~
00:00:22.00-21538 ->  ERROR OCCUR  ~
00:00:22.00-21486 ->  BREAK STOP  ~
00:00:22.00-21432 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:22.00-21379 ->  ERROR OCCUR  ~
00:00:22.00-21327 ->  BREAK STOP  ~
00:00:22.00-21273 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:22.00-21221 ->  ERROR OCCUR  ~
00:00:22.00-21168 ->  BREAK STOP  ~
00:00:22.00-21115 ->  ERROR OCCUR  ~
00:00:22.00-21063 ->  BREAK STOP  ~
00:00:22.00-21007 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:23.00-22953 ->  ERROR OCCUR  ~
00:00:23.00-22902 ->  BREAK STOP  ~
00:00:23.00-22847 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:23.00-22795 ->  ERROR OCCUR  ~
00:00:23.00-22742 ->  BREAK STOP  ~
00:00:23.00-22690 ->  ERROR OCCUR  ~
00:00:23.00-22638 ->  BREAK STOP  ~
00:00:23.00-22585 ->  ERROR OCCUR  ~
00:00:23.00-22533 ->  BREAK STOP  ~
00:00:23.00-22480 ->  ERROR OCCUR  ~
00:00:23.00-22428 ->  BREAK STOP  ~
00:00:23.00-22372 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:23.00-22318 ->  ERROR OCCUR  ~
00:00:23.00-22267 ->  BREAK STOP  ~
00:00:23.00-22213 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:23.00-22160 ->  ERROR OCCUR  ~
00:00:23.00-22109 ->  BREAK STOP  ~
00:00:23.00-22055 ->  ERROR OCCUR  ~
00:00:23.00-22004 ->  BREAK STOP  ~
00:00:24.00-23950 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:24.00-23897 ->  ERROR OCCUR  ~
00:00:24.00-23845 ->  BREAK STOP  ~
00:00:24.00-23788 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:24.00-23735 ->  ERROR OCCUR  ~
00:00:24.00-23684 ->  BREAK STOP  ~
00:00:24.00-23631 ->  ERROR OCCUR  ~
00:00:24.00-23579 ->  BREAK STOP  ~
00:00:24.00-23525 ->  (110,109,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:24.00-23473 ->  ERROR OCCUR  ~
00:00:24.00-23420 ->  BREAK STOP  ~
00:00:24.00-23366 ->  (111,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:24.00-23314 ->  ERROR OCCUR  ~
00:00:24.00-23262 ->  BREAK STOP  ~
00:00:24.00-23207 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:24.00-23152 ->  ERROR OCCUR  ~
00:00:24.00-23100 ->  BREAK STOP  ~
00:00:24.00-23048 ->  ERROR OCCUR  ~
00:00:25.00-24995 ->  BREAK STOP  ~
00:00:25.00-24941 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:25.00-24888 ->  ERROR OCCUR  ~
00:00:25.00-24836 ->  BREAK STOP  ~
00:00:25.00-24781 ->  (110,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:25.00-24729 ->  ERROR OCCUR  ~
00:00:25.00-24677 ->  BREAK STOP  ~
00:00:25.00-24625 ->  ERROR OCCUR  ~
00:00:25.00-24569 ->  BREAK STOP  ~
00:00:25.00-24515 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:25.00-24463 ->  ERROR OCCUR  ~
00:00:25.00-24411 ->  BREAK STOP  ~
00:00:25.00-24357 ->  ERROR OCCUR  ~
00:00:25.00-24306 ->  BREAK STOP  ~
00:00:25.00-24253 ->  ERROR OCCUR  ~
00:00:25.00-24202 ->  BREAK STOP  ~
00:00:25.00-24148 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:25.00-24094 ->  ERROR OCCUR  ~
00:00:25.00-24042 ->  BREAK STOP  ~
00:00:26.00-25988 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:26.00-25933 ->  ERROR OCCUR  ~
00:00:26.00-25880 ->  BREAK STOP  ~
00:00:26.00-25826 ->  (110,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:26.00-25773 ->  ERROR OCCUR  ~
00:00:26.00-25722 ->  BREAK STOP  ~
00:00:26.00-25666 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:26.00-25614 ->  ERROR OCCUR  ~
00:00:26.00-25562 ->  BREAK STOP  ~
00:00:26.00-25510 ->  ERROR OCCUR  ~
00:00:26.00-25457 ->  BREAK STOP  ~
00:00:26.00-25403 ->  (110,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:26.00-25348 ->  ERROR OCCUR  ~
00:00:26.00-25296 ->  BREAK STOP  ~
00:00:26.00-25242 ->  ERROR OCCUR  ~
00:00:26.00-25190 ->  BREAK STOP  ~
00:00:26.00-25136 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:26.00-25084 ->  ERROR OCCUR  ~
00:00:26.00-25031 ->  BREAK STOP  ~
00:00:27.00-26979 ->  ERROR OCCUR  ~
00:00:27.00-26927 ->  BREAK STOP  ~
00:00:27.00-26873 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:27.00-26819 ->  ERROR OCCUR  ~
00:00:27.00-26765 ->  BREAK STOP  ~
00:00:27.00-26711 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:27.00-26658 ->  ERROR OCCUR  ~
00:00:27.00-26605 ->  BREAK STOP  ~
00:00:27.00-26553 ->  ERROR OCCUR  ~
00:00:27.00-26501 ->  BREAK STOP  ~
00:00:27.00-26449 ->  ERROR OCCUR  ~
00:00:27.00-26397 ->  BREAK STOP  ~
00:00:27.00-26343 ->  ERROR OCCUR  ~
00:00:27.00-26292 ->  BREAK STOP  ~
00:00:27.00-26238 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:27.00-26185 ->  ERROR OCCUR  ~
00:00:27.00-26129 ->  BREAK STOP  ~
00:00:27.00-26075 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:27.00-26023 ->  ERROR OCCUR  ~
00:00:28.00-27971 ->  BREAK STOP  ~
00:00:28.00-27918 ->  ERROR OCCUR  ~
00:00:28.00-27866 ->  BREAK STOP  ~
00:00:28.00-27814 ->  ERROR OCCUR  ~
00:00:28.00-27762 ->  BREAK STOP  ~
00:00:28.00-27707 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:28.00-27654 ->  ERROR OCCUR  ~
00:00:28.00-27602 ->  BREAK STOP  ~
00:00:28.00-27548 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:28.00-27492 ->  ERROR OCCUR  ~
00:00:28.00-27441 ->  BREAK STOP  ~
00:00:28.00-27388 ->  ERROR OCCUR  ~
00:00:28.00-27336 ->  BREAK STOP  ~
00:00:28.00-27283 ->  ERROR OCCUR  ~
00:00:28.00-27232 ->  BREAK STOP  ~
00:00:28.00-27179 ->  ERROR OCCUR  ~
00:00:28.00-27127 ->  BREAK STOP  ~
00:00:28.00-27072 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
