00:00:04.784 ->  SD OK~
00:00:04.809 ->  BREAK STOP~
00:00:05.047 ->  Controller Set~
00:00:06.795 ->  START~
00:01:15.936 ->  BREAK STOP  ~
00:01:16.055 ->  ERROR OCCUR  ~
00:01:16.075 ->  BREAK STOP  ~
00:01:16.093 ->  ERROR OCCUR  ~
00:01:16.113 ->  BREAK STOP  ~
00:01:16.233 ->  ERROR OCCUR  ~
00:01:16.252 ->  BREAK STOP  ~
00:01:16.371 ->  ERROR OCCUR  ~
00:01:16.392 ->  BREAK STOP  ~
00:01:16.513 ->  ERROR OCCUR  ~
00:01:16.532 ->  BREAK STOP  ~
00:01:16.659 ->  ERROR OCCUR  ~
00:01:16.678 ->  BREAK STOP  ~
00:01:16.697 ->  ERROR OCCUR  ~
00:01:16.716 ->  BREAK STOP  ~
00:01:16.836 ->  ERROR OCCUR  ~
00:01:16.855 ->  BREAK STOP  ~
00:01:16.974 ->  ERROR OCCUR  ~
00:01:16.993 ->  BREAK STOP  ~
00:01:17.114 ->  ERROR OCCUR  ~
00:01:17.133 ->  BREAK STOP  ~
00:01:17.151 ->  ERROR OCCUR  ~
00:01:17.171 ->  BREAK STOP  ~
00:01:17.290 ->  ERROR OCCUR  ~
00:01:17.312 ->  BREAK STOP  ~
00:01:17.433 ->  ERROR OCCUR  ~
00:01:17.451 ->  BREAK STOP  ~
00:01:17.570 ->  ERROR OCCUR  ~
00:01:17.589 ->  BREAK STOP  ~
00:01:17.717 ->  ERROR OCCUR  ~
00:01:17.736 ->  BREAK STOP  ~
00:01:17.755 ->  ERROR OCCUR  ~
00:01:17.774 ->  BREAK STOP  ~
00:01:17.893 ->  ERROR OCCUR  ~
00:01:17.913 ->  BREAK STOP  ~
00:01:18.033 ->  ERROR OCCUR  ~
00:01:18.051 ->  BREAK STOP  ~
00:01:18.170 ->  ERROR OCCUR  ~
00:01:18.189 ->  BREAK STOP  ~
00:01:18.208 ->  ERROR OCCUR  ~
00:01:18.225 ->  BREAK STOP  ~
00:01:18.344 ->  ERROR OCCUR  ~
00:01:18.363 ->  BREAK STOP  ~
00:01:18.483 ->  ERROR OCCUR  ~
00:01:18.503 ->  BREAK STOP  ~
00:01:18.624 ->  ERROR OCCUR  ~
00:01:18.642 ->  BREAK STOP  ~
00:01:18.661 ->  ERROR OCCUR  ~
00:01:18.680 ->  BREAK STOP  ~
00:01:18.800 ->  ERROR OCCUR  ~
00:01:18.819 ->  BREAK STOP  ~
00:01:18.939 ->  ERROR OCCUR  ~
00:01:18.957 ->  BREAK STOP  ~
