18:00:28.00-27395 ->  Battery :12.33 V~
18:00:28.00-27323 ->  Speed:0.00 km/hr ~
18:00:28.00-27272 ->  Battery :12.39 V~
18:00:28.00-27200 ->  Speed:0.00 km/hr ~
18:00:28.00-27149 ->  Battery :12.31 V~
18:00:28.00-27078 ->  Speed:0.00 km/hr ~
18:00:28.00-27026 ->  Battery :12.30 V~
18:00:29.00-28955 ->  Speed:0.00 km/hr ~
18:00:29.00-28905 ->  Battery :12.33 V~
18:00:29.00-28833 ->  Speed:0.00 km/hr ~
18:00:29.00-28780 ->  Battery :12.31 V~
18:00:29.00-28707 ->  Speed:0.00 km/hr ~
18:00:29.00-28657 ->  Battery :12.27 V~
18:00:29.00-28585 ->  Speed:0.00 km/hr ~
18:00:29.00-28534 ->  Battery :12.31 V~
18:00:29.00-28462 ->  Speed:0.00 km/hr ~
18:00:29.00-28412 ->  Battery :12.30 V~
18:00:29.00-28340 ->  Speed:0.00 km/hr ~
18:00:29.00-28289 ->  Battery :12.34 V~
18:00:29.00-28217 ->  Speed:0.00 km/hr ~
18:00:29.00-28166 ->  Battery :12.34 V~
18:00:29.00-28095 ->  Speed:0.00 km/hr ~
18:00:29.00-28041 ->  Battery :12.34 V~
18:00:30.00-29970 ->  Speed:0.00 km/hr ~
18:00:30.00-29918 ->  Battery :12.37 V~
18:00:30.00-29847 ->  Speed:0.00 km/hr ~
18:00:30.00-29772 ->  Battery :12.34 V~
18:00:30.00-29700 ->  Speed:0.00 km/hr ~
18:00:30.00-29650 ->  Battery :12.31 V~
18:00:30.00-29577 ->  Speed:0.00 km/hr ~
18:00:30.00-29527 ->  Battery :12.37 V~
18:00:30.00-29456 ->  Speed:0.00 km/hr ~
18:00:30.00-29404 ->  Battery :12.36 V~
18:00:30.00-29333 ->  Speed:0.00 km/hr ~
18:00:30.00-29271 ->  Battery :12.34 V~
18:00:30.00-29200 ->  Speed:0.00 km/hr ~
18:00:30.00-29121 ->  Battery :12.30 V~
18:00:30.00-29049 ->  Speed:0.00 km/hr ~
18:00:31.00-30969 ->  Battery :12.28 V~
18:00:31.00-30898 ->  Speed:0.00 km/hr ~
18:00:31.00-30819 ->  Battery :12.27 V~
18:00:31.00-30747 ->  Speed:0.00 km/hr ~
18:00:31.00-30667 ->  Battery :12.28 V~
18:00:31.00-30595 ->  Speed:0.00 km/hr ~
18:00:31.00-30517 ->  Battery :12.28 V~
18:00:31.00-30445 ->  Speed:0.00 km/hr ~
18:00:31.00-30365 ->  Battery :12.28 V~
18:00:31.00-30291 ->  Speed:0.00 km/hr ~
18:00:31.00-30213 ->  Battery :12.28 V~
18:00:31.00-30142 ->  Speed:0.00 km/hr ~
18:00:31.00-30063 ->  Battery :12.27 V~
18:00:32.00-31991 ->  Speed:0.00 km/hr ~
18:00:32.00-31911 ->  Battery :12.34 V~
18:00:32.00-31840 ->  Speed:0.00 km/hr ~
18:00:32.00-31761 ->  Battery :12.30 V~
18:00:32.00-31689 ->  Speed:0.00 km/hr ~
18:00:32.00-31609 ->  Battery :12.30 V~
18:00:32.00-31538 ->  Speed:0.00 km/hr ~
18:00:32.00-31459 ->  Battery :12.31 V~
18:00:32.00-31385 ->  Speed:0.00 km/hr ~
18:00:32.00-31307 ->  Battery :12.30 V~
